date,region,industry,customers,leads,conversions,revenue,expenses,satisfaction,churn_rate
2024-03-01,Calgary,Finance,33,65,30,10855.99,8040.83,4.13,0.0594
2024-03-01,Edmonton,E-commerce,34,87,35,8911.01,5596.24,3.98,0.0498
2024-03-01,Calgary,E-commerce,32,78,34,8298.42,4671.35,3.66,0.0521
2024-04-01,Edmonton,Retail,27,62,28,6945.49,4371.73,3.83,0.0933
2024-04-01,Calgary,Retail,29,51,20,8142.79,4577.13,4.26,0.0861
2024-04-01,Edmonton,Restaurant,21,41,13,4998.88,2873.16,3.85,0.0507
2024-04-01,Calgary,Restaurant,25,58,21,4779.02,3173.94,4.26,0.056
2024-04-01,Edmonton,Healthcare,28,54,18,5809.85,3358.76,4.56,0.0619
2024-04-01,Calgary,Healthcare,28,71,21,7165.98,3947.83,4.4,0.0632
2024-04-01,Edmonton,Finance,29,70,21,8872.64,5988.34,4.12,0.0577
2024-04-01,Calgary,Finance,39,76,23,9154.57,6173.0,3.76,0.0609
2024-04-01,Edmonton,E-commerce,39,80,33,10532.68,6412.02,4.1,0.0784
2024-04-01,Calgary,E-commerce,39,96,39,12680.74,8273.44,4.38,0.0497
2024-05-01,Edmonton,Retail,31,72,33,8450.15,4922.25,4.2,0.0761
2024-05-01,Calgary,Retail,36,66,31,9529.55,7018.96,4.06,0.0822
2024-05-01,Edmonton,Restaurant,26,58,17,5764.49,3419.55,4.25,0.0758
2024-05-01,Calgary,Restaurant,28,68,26,4672.93,3273.03,3.68,0.0444
2024-05-01,Edmonton,Healthcare,30,62,27,5669.37,3844.69,4.38,0.0742
2024-05-01,Calgary,Healthcare,31,61,19,7208.08,4443.64,4.27,0.073
2024-05-01,Edmonton,Finance,30,76,33,8947.21,5870.52,4.38,0.0552
2024-05-01,Calgary,Finance,39,96,39,13166.29,7437.38,3.7,0.0839
2024-05-01,Edmonton,E-commerce,33,65,24,9820.02,7004.95,3.99,0.0629
2024-05-01,Calgary,E-commerce,39,97,33,10509.97,7875.93,4.29,0.0676
2024-06-01,Edmonton,Retail,32,61,19,9640.57,5264.62,4.23,0.0698
2024-06-01,Calgary,Retail,33,58,23,7534.31,4077.12,3.87,0.0283
2024-06-01,Edmonton,Restaurant,18,43,18,3651.14,2682.99,4.5,0.0538
2024-06-01,Calgary,Restaurant,31,73,23,6870.25,3933.87,4.09,0.0695
2024-06-01,Edmonton,Healthcare,34,59,27,6119.11,4096.29,3.74,0.0717
2024-06-01,Calgary,Healthcare,30,72,29,7662.31,4875.51,4.26,0.0615
2024-06-01,Edmonton,Finance,37,85,40,9905.79,6804.81,4.27,0.0526
2024-06-01,Calgary,Finance,37,72,25,9997.36,5680.1,3.98,0.061
2024-06-01,Edmonton,E-commerce,36,80,27,10201.35,5974.95,4.07,0.0497
2024-06-01,Calgary,E-commerce,44,103,42,13762.54,9066.93,4.22,0.0661
2024-07-01,Edmonton,Retail,32,65,25,8224.03,5522.13,4.52,0.0566
2024-07-01,Calgary,Retail,37,73,33,8981.75,6358.83,4.34,0.0745
2024-07-01,Edmonton,Restaurant,26,52,22,4537.19,2614.91,4.1,0.0192
2024-07-01,Calgary,Restaurant,23,42,15,4426.52,2948.84,4.05,0.0986
2024-07-01,Edmonton,Healthcare,31,64,26,6916.5,4759.49,4.16,0.0692
2024-07-01,Calgary,Healthcare,33,85,33,6964.99,4984.31,3.97,0.079
2024-07-01,Edmonton,Finance,34,81,30,9250.76,5150.92,4.56,0.0485
2024-07-01,Calgary,Finance,34,67,25,7236.9,4261.8,4.46,0.0119
2024-07-01,Edmonton,E-commerce,34,78,32,8973.0,6046.84,4.14,0.0587
2024-07-01,Calgary,E-commerce,36,77,33,9745.86,6991.1,4.67,0.0534
2024-08-01,Edmonton,Retail,32,69,27,7734.1,4729.59,3.97,0.0537
2024-08-01,Calgary,Retail,37,69,20,7825.75,4782.79,4.02,0.0649
2024-08-01,Edmonton,Restaurant,27,63,26,3558.23,2129.19,3.83,0.0791
2024-08-01,Calgary,Restaurant,32,82,36,6342.0,4384.52,3.92,0.0679
2024-08-01,Edmonton,Healthcare,36,93,44,6990.41,4735.03,4.24,0.0878
2024-08-01,Calgary,Healthcare,28,72,27,5734.96,3686.65,3.75,0.0643
2024-08-01,Edmonton,Finance,33,84,37,9017.97,6388.62,4.29,0.0247
2024-08-01,Calgary,Finance,39,93,42,9250.7,6380.98,3.87,0.0678
2024-08-01,Edmonton,E-commerce,38,65,25,9810.54,7065.61,4.03,0.0635
2024-08-01,Calgary,E-commerce,39,96,34,10368.53,6116.48,4.79,0.0477
2024-09-01,Edmonton,Retail,28,52,15,5845.24,4244.68,4.31,0.0281
2024-09-01,Calgary,Retail,39,71,28,9825.14,6147.27,3.76,0.058
2024-09-01,Edmonton,Restaurant,25,44,14,4761.81,2936.75,4.26,0.0394
2024-09-01,Calgary,Restaurant,29,69,27,5713.66,4236.3,4.1,0.0535
2024-09-01,Edmonton,Healthcare,26,62,25,5243.6,3414.66,4.25,0.0422
2024-09-01,Calgary,Healthcare,30,59,23,6080.36,4399.78,4.27,0.052
2024-09-01,Edmonton,Finance,38,92,42,11032.04,7520.16,4.08,0.0464
2024-09-01,Calgary,Finance,41,89,33,11550.62,8554.66,4.41,0.0145
2024-09-01,Edmonton,E-commerce,36,76,29,8057.56,4461.96,4.45,0.0506
2024-09-01,Calgary,E-commerce,38,72,25,8447.11,5799.95,4.13,0.0667
2024-10-01,Edmonton,Retail,35,76,29,9548.66,5158.75,3.8,0.0673
2024-10-01,Calgary,Retail,36,69,26,7147.47,4343.68,3.96,0.0813
2024-10-01,Edmonton,Restaurant,28,66,20,4752.56,3026.24,4.31,0.0516
2024-10-01,Calgary,Restaurant,30,54,22,5025.24,2746.64,4.42,0.0764
2024-10-01,Edmonton,Healthcare,29,65,20,4408.14,3170.37,4.09,0.0389
2024-10-01,Calgary,Healthcare,34,88,31,6964.27,4643.21,3.96,0.0704
2024-10-01,Edmonton,Finance,38,75,22,8808.35,5522.36,4.26,0.0229
2024-10-01,Calgary,Finance,40,95,33,10005.52,6890.79,4.24,0.0793
2024-10-01,Edmonton,E-commerce,39,84,40,10908.07,6286.52,4.17,0.0536
2024-10-01,Calgary,E-commerce,47,117,45,11592.22,8444.16,3.92,0.0523
2024-11-01,Edmonton,Retail,33,81,23,6780.65,4606.5,4.42,0.0741
2024-11-01,Calgary,Retail,41,84,35,10295.62,6756.43,4.49,0.0748
2024-11-01,Edmonton,Restaurant,27,46,20,4362.83,2827.39,4.24,0.0459
2024-11-01,Calgary,Restaurant,28,51,24,5284.2,3610.92,4.06,0.0809
2024-11-01,Edmonton,Healthcare,29,59,23,5645.97,4090.26,4.47,0.01
2024-11-01,Calgary,Healthcare,36,89,39,7977.39,5822.17,4.1,0.0807
2024-11-01,Edmonton,Finance,43,101,46,12204.34,7556.93,4.21,0.0616
2024-11-01,Calgary,Finance,50,127,47,13168.08,8774.85,4.4,0.0556
2024-11-01,Edmonton,E-commerce,40,80,38,9765.03,6676.91,3.94,0.029
2024-11-01,Calgary,E-commerce,43,80,31,10950.82,6378.18,4.04,0.0542
2024-12-01,Edmonton,Retail,37,79,24,9933.78,6725.46,4.18,0.051
2024-12-01,Calgary,Retail,39,101,48,11116.89,8301.65,3.92,0.0602
2024-12-01,Edmonton,Restaurant,32,72,28,5372.48,3855.39,4.08,0.0557
2024-12-01,Calgary,Restaurant,29,57,20,6499.39,4513.03,4.27,0.0568
2024-12-01,Edmonton,Healthcare,33,83,25,9833.76,5559.39,4.2,0.0356
2024-12-01,Calgary,Healthcare,33,77,35,7832.92,4633.21,4.52,0.0645
2024-12-01,Edmonton,Finance,42,105,46,8788.33,6480.55,4.14,0.0889
2024-12-01,Calgary,Finance,40,73,34,10819.61,6141.95,4.46,0.0847
2024-12-01,Edmonton,E-commerce,41,71,22,11096.9,6582.34,4.23,0.071
2024-12-01,Calgary,E-commerce,45,84,40,13446.82,8763.24,4.27,0.01
2025-01-01,Edmonton,Retail,32,56,20,9951.84,6087.45,4.06,0.0954
2025-01-01,Calgary,Retail,40,84,34,10076.04,7395.76,4.17,0.0304
2025-01-01,Edmonton,Restaurant,28,51,21,5389.24,3056.22,4.23,0.0661
2025-01-01,Calgary,Restaurant,28,63,24,5238.08,3554.51,4.29,0.0274
2025-01-01,Edmonton,Healthcare,34,72,33,9713.59,5327.45,4.11,0.0463
2025-01-01,Calgary,Healthcare,39,80,31,10222.38,7105.45,4.36,0.0572
2025-01-01,Edmonton,Finance,39,81,30,12089.58,7397.57,4.18,0.0611
2025-01-01,Calgary,Finance,44,88,28,12661.58,6889.81,4.06,0.0252
2025-01-01,Edmonton,E-commerce,38,69,23,9480.78,5667.44,4.26,0.0607
2025-01-01,Calgary,E-commerce,46,103,34,15175.73,11231.77,4.18,0.0738
2025-02-01,Edmonton,Retail,41,84,38,12158.29,6624.78,4.42,0.045
2025-02-01,Calgary,Retail,43,92,37,11807.38,7726.22,4.0,0.0395
2025-02-01,Edmonton,Restaurant,28,66,29,6985.34,5207.03,4.21,0.099
2025-02-01,Calgary,Restaurant,27,52,21,6866.66,4125.19,4.14,0.0812
2025-02-01,Edmonton,Healthcare,33,66,29,8176.83,4428.38,4.53,0.0536
2025-02-01,Calgary,Healthcare,37,69,21,8330.19,6245.21,4.5,0.1056
2025-02-01,Edmonton,Finance,38,92,31,10544.49,5999.6,4.21,0.0477
2025-02-01,Calgary,Finance,38,83,32,9005.98,5664.17,4.37,0.0582
2025-02-01,Edmonton,E-commerce,40,103,35,11719.28,8119.67,4.45,0.0661
2025-02-01,Calgary,E-commerce,47,115,51,14377.05,10141.1,4.49,0.0701
2025-03-01,Edmonton,Retail,43,79,36,11816.51,8596.94,4.45,0.0485
2025-03-01,Calgary,Retail,42,88,38,9539.7,5152.48,4.14,0.0501
2025-03-01,Edmonton,Restaurant,35,85,33,6794.32,4897.13,4.02,0.0799
2025-03-01,Calgary,Restaurant,32,69,30,7214.71,5035.79,4.59,0.0132
2025-03-01,Edmonton,Healthcare,29,52,16,7688.19,4343.6,4.42,0.0735
2025-03-01,Calgary,Healthcare,38,80,29,9318.81,6311.1,4.18,0.0815
2025-03-01,Edmonton,Finance,33,65,28,8115.87,5500.74,3.94,0.0395
2025-03-01,Calgary,Finance,51,114,43,14402.74,7927.07,4.15,0.037
2025-03-01,Edmonton,E-commerce,43,84,32,12427.64,7716.66,3.86,0.0704
2025-03-01,Calgary,E-commerce,44,110,45,12205.48,7135.06,4.33,0.0525
2025-04-01,Edmonton,Retail,44,83,33,14721.18,8133.34,3.89,0.0383
2025-04-01,Calgary,Retail,47,87,27,11038.2,6940.54,4.02,0.0429
2025-04-01,Edmonton,Restaurant,28,63,20,5351.22,3187.24,4.14,0.0422
2025-04-01,Calgary,Restaurant,25,45,20,4210.66,2821.61,4.17,0.0782
2025-04-01,Edmonton,Healthcare,37,74,35,8583.36,5358.3,4.31,0.0652
2025-04-01,Calgary,Healthcare,37,95,34,8603.06,5537.54,4.26,0.0407
2025-04-01,Edmonton,Finance,41,102,41,11251.64,6319.93,4.58,0.0454
2025-04-01,Calgary,Finance,47,96,33,15499.53,11405.85,4.41,0.0823
2025-04-01,Edmonton,E-commerce,41,82,29,13156.61,7990.67,4.6,0.0463
2025-04-01,Calgary,E-commerce,50,119,39,14270.33,9392.18,3.98,0.0669
2025-05-01,Edmonton,Retail,42,86,40,10157.4,7501.84,4.03,0.0554
2025-05-01,Calgary,Retail,41,97,44,12459.82,6797.73,3.7,0.0693
2025-05-01,Edmonton,Restaurant,31,63,25,6286.46,4554.79,4.22,0.0471
2025-05-01,Calgary,Restaurant,32,82,37,5460.96,4056.06,3.9,0.0376
2025-05-01,Edmonton,Healthcare,36,79,38,8102.3,5194.95,3.94,0.0772
2025-05-01,Calgary,Healthcare,31,76,26,6556.87,4635.03,4.32,0.0881
2025-05-01,Edmonton,Finance,41,76,31,11703.03,8015.72,4.17,0.0269
2025-05-01,Calgary,Finance,46,84,27,13876.68,8117.98,3.73,0.0357
2025-05-01,Edmonton,E-commerce,47,83,34,15640.49,11646.34,4.83,0.0512
2025-05-01,Calgary,E-commerce,46,119,56,12197.31,7955.9,4.26,0.0418
2025-06-01,Edmonton,Retail,43,106,32,9407.3,6928.79,4.35,0.0894
2025-06-01,Calgary,Retail,45,93,34,12544.23,8268.7,4.4,0.0238
2025-06-01,Edmonton,Restaurant,34,61,28,6104.51,4532.71,4.41,0.0277
2025-06-01,Calgary,Restaurant,36,87,34,8416.44,4769.23,4.22,0.0602
2025-06-01,Edmonton,Healthcare,41,84,30,10464.91,6654.06,4.2,0.0775
2025-06-01,Calgary,Healthcare,37,83,24,8730.82,6421.02,4.29,0.0213
2025-06-01,Edmonton,Finance,48,124,41,13475.0,9925.65,4.1,0.0513
2025-06-01,Calgary,Finance,44,96,39,11546.68,8447.71,4.3,0.0475
2025-06-01,Edmonton,E-commerce,52,93,30,15086.3,9248.79,4.42,0.0725
2025-06-01,Calgary,E-commerce,49,97,40,13949.9,8068.48,3.96,0.0698
2025-07-01,Edmonton,Retail,44,82,25,10100.16,7440.79,3.79,0.0593
2025-07-01,Calgary,Retail,44,94,34,11818.01,7588.57,4.27,0.03
2025-07-01,Edmonton,Restaurant,36,76,35,5807.94,4333.26,4.04,0.0491
2025-07-01,Calgary,Restaurant,36,82,37,7296.24,4596.02,4.2,0.0871
2025-07-01,Edmonton,Healthcare,39,81,36,10640.82,6574.88,4.19,0.0318
2025-07-01,Calgary,Healthcare,37,70,28,7741.62,4393.7,3.64,0.0516
2025-07-01,Edmonton,Finance,43,81,27,14363.65,8222.17,4.32,0.0571
2025-07-01,Calgary,Finance,48,102,32,11675.83,7181.96,4.22,0.0439
2025-07-01,Edmonton,E-commerce,46,98,43,12661.68,7023.25,3.9,0.0678
2025-07-01,Calgary,E-commerce,46,86,32,11056.3,6808.14,4.3,0.0171
2025-08-01,Edmonton,Retail,42,88,30,10595.1,6012.58,3.7,0.0247
2025-08-01,Calgary,Retail,46,114,55,10094.58,6814.14,3.52,0.0508
2025-08-01,Edmonton,Restaurant,32,55,21,5493.67,3060.21,4.33,0.065
2025-08-01,Calgary,Restaurant,36,68,30,7927.09,4461.51,3.78,0.0383
2025-08-01,Edmonton,Healthcare,43,83,33,8464.41,5284.75,4.12,0.0229
2025-08-01,Calgary,Healthcare,39,68,32,7863.99,4568.89,4.09,0.0302
2025-08-01,Edmonton,Finance,42,81,37,8770.66,6231.71,4.21,0.0403
2025-08-01,Calgary,Finance,44,85,31,9330.18,6928.12,3.8,0.0555
2025-08-01,Edmonton,E-commerce,46,87,24,11840.79,8470.62,4.43,0.0151
2025-08-01,Calgary,E-commerce,52,93,33,14800.69,10509.78,3.79,0.0128
2025-09-01,Edmonton,Retail,45,111,45,9244.38,5922.67,4.0,0.0618
2025-09-01,Calgary,Retail,47,111,48,12471.49,7378.56,4.45,0.0778
2025-09-01,Edmonton,Restaurant,29,70,32,4967.0,2984.07,4.09,0.0602
2025-09-01,Calgary,Restaurant,35,72,23,5559.37,4103.92,3.75,0.0608
2025-09-01,Edmonton,Healthcare,37,70,32,8516.23,5998.92,4.45,0.0128
2025-09-01,Calgary,Healthcare,47,106,46,11325.53,6843.09,4.18,0.0601
2025-09-01,Edmonton,Finance,48,104,45,9813.59,7106.04,4.3,0.0115
2025-09-01,Calgary,Finance,50,111,40,10670.51,6894.3,4.01,0.0459
2025-09-01,Edmonton,E-commerce,51,95,42,14335.01,9315.59,3.76,0.0685
2025-09-01,Calgary,E-commerce,52,111,53,14998.02,10109.07,4.01,0.059
2025-10-01,Edmonton,Retail,43,111,51,11126.4,6902.64,4.29,0.0509
2025-10-01,Calgary,Retail,42,72,23,11066.34,7903.75,3.93,0.0453
2025-10-01,Edmonton,Restaurant,37,64,23,5993.57,4325.38,4.39,0.0454
2025-10-01,Calgary,Restaurant,32,61,24,5347.52,3882.29,4.07,0.0977
2025-10-01,Edmonton,Healthcare,34,77,33,8389.66,5781.34,4.24,0.0893
2025-10-01,Calgary,Healthcare,41,100,35,8149.31,5920.41,4.33,0.053
2025-10-01,Edmonton,Finance,42,78,25,11689.58,7127.77,4.43,0.0298
2025-10-01,Calgary,Finance,47,115,46,11532.26,6548.41,4.2,0.0557
2025-10-01,Edmonton,E-commerce,48,101,35,12566.57,8666.88,3.85,0.0516
2025-10-01,Calgary,E-commerce,50,123,43,11782.22,6971.94,4.34,0.0411
2025-11-01,Edmonton,Retail,42,97,45,9829.55,5755.11,4.02,0.0448
2025-11-01,Calgary,Retail,51,115,35,13433.82,8976.08,3.9,0.041
2025-11-01,Edmonton,Restaurant,32,57,18,5325.02,3332.91,3.96,0.1056
2025-11-01,Calgary,Restaurant,36,81,38,6795.25,4381.79,3.86,0.0588
2025-11-01,Edmonton,Healthcare,37,79,37,8048.15,5217.57,4.35,0.0768
2025-11-01,Calgary,Healthcare,47,84,24,8161.6,4779.04,4.25,0.0496
2025-11-01,Edmonton,Finance,41,104,33,10403.42,5954.91,4.17,0.063
2025-11-01,Calgary,Finance,49,123,47,13038.11,7672.18,4.19,0.0723
2025-11-01,Edmonton,E-commerce,43,83,33,9423.55,5584.31,4.34,0.0718
2025-11-01,Calgary,E-commerce,54,102,39,15916.81,11713.44,3.97,0.0671
2025-12-01,Edmonton,Retail,47,114,38,15299.23,11172.76,3.91,0.0625
2025-12-01,Calgary,Retail,50,119,41,13361.14,8360.71,4.04,0.0552
2025-12-01,Edmonton,Restaurant,37,88,34,6216.78,3654.55,4.09,0.0669
2025-12-01,Calgary,Restaurant,36,63,25,6826.74,3779.55,4.14,0.0738
2025-12-01,Edmonton,Healthcare,42,74,33,8560.39,5418.72,4.25,0.0578
2025-12-01,Calgary,Healthcare,43,81,33,10744.96,6140.83,4.03,0.0335
2025-12-01,Edmonton,Finance,44,89,29,9671.63,6191.96,4.35,0.0806
2025-12-01,Calgary,Finance,49,110,48,12990.08,8771.45,3.81,0.0648
2025-12-01,Edmonton,E-commerce,53,92,30,14786.84,8747.44,3.81,0.0632
2025-12-01,Calgary,E-commerce,53,134,38,15835.48,9220.73,4.33,0.0341
2026-01-01,Edmonton,Retail,45,116,45,13884.64,10139.11,4.31,0.01
2026-01-01,Calgary,Retail,53,97,42,10885.46,7185.35,3.92,0.0735
2026-01-01,Edmonton,Restaurant,30,77,33,6922.44,4191.99,4.39,0.0682
2026-01-01,Calgary,Restaurant,33,62,28,7517.19,5218.22,4.17,0.0341
2026-01-01,Edmonton,Healthcare,39,91,43,10114.44,6009.57,4.09,0.0225
2026-01-01,Calgary,Healthcare,43,102,34,8554.88,5473.53,3.75,0.0432
2026-01-01,Edmonton,Finance,48,110,33,12386.1,9167.26,4.22,0.0435
2026-01-01,Calgary,Finance,51,100,31,14919.01,8204.68,4.08,0.0693
2026-01-01,Edmonton,E-commerce,50,102,42,12646.1,8460.51,3.73,0.0589
2026-01-01,Calgary,E-commerce,59,120,46,17646.62,12531.99,3.99,0.0498
2026-02-01,Edmonton,Retail,47,113,53,12061.33,6767.14,4.24,0.0724
2026-02-01,Calgary,Retail,50,127,60,15447.76,10393.17,4.07,0.043
2026-02-01,Edmonton,Restaurant,37,63,23,7773.47,5809.94,4.47,0.0663
2026-02-01,Calgary,Restaurant,35,61,29,8668.56,4919.35,4.22,0.0545
2026-02-01,Edmonton,Healthcare,40,103,34,11942.52,7708.98,4.16,0.031
2026-02-01,Calgary,Healthcare,41,89,42,11985.63,7453.59,4.06,0.0669
2026-02-01,Edmonton,Finance,47,88,37,12560.14,8576.15,4.25,0.0716
2026-02-01,Calgary,Finance,54,133,52,17499.71,10777.6,4.3,0.0568
2026-02-01,Edmonton,E-commerce,48,92,40,15551.72,8802.69,4.19,0.0655
2026-02-01,Calgary,E-commerce,54,140,49,15841.73,10928.47,4.25,0.0618
2026-03-01,Edmonton,Retail,46,117,39,13189.26,7161.32,4.1,0.0297
2026-03-01,Calgary,Retail,45,84,30,10680.37,6393.96,4.19,0.0162
2026-03-01,Edmonton,Restaurant,34,81,39,6610.43,3850.2,4.37,0.0533
2026-03-01,Calgary,Restaurant,38,93,43,8506.33,5959.52,4.38,0.0567
2026-03-01,Edmonton,Healthcare,45,117,51,13866.77,7762.78,3.77,0.0422
2026-03-01,Calgary,Healthcare,49,121,36,13426.58,8948.9,4.23,0.062
2026-03-01,Edmonton,Finance,51,106,48,14800.5,9212.93,4.21,0.0589
2026-03-01,Calgary,Finance,55,106,40,16805.91,10549.51,4.23,0.0947
2026-03-01,Edmonton,E-commerce,51,131,57,17998.72,10689.65,4.26,0.0406
2026-03-01,Calgary,E-commerce,55,122,41,15800.53,11247.26,4.1,0.1037
2026-04-01,Edmonton,Retail,49,119,35,11222.65,7469.23,4.21,0.0539
2026-04-01,Calgary,Retail,53,99,34,15651.28,11392.46,3.99,0.0672
2026-04-01,Edmonton,Restaurant,35,74,34,6369.88,4777.09,4.33,0.0659
2026-04-01,Calgary,Restaurant,44,87,31,13351.09,9866.1,3.92,0.0496
2026-04-01,Edmonton,Healthcare,40,70,20,9636.38,6630.86,4.09,0.0932
2026-04-01,Calgary,Healthcare,48,119,37,11904.4,8299.61,4.07,0.0912
2026-04-01,Edmonton,Finance,51,98,35,13517.26,8346.43,3.73,0.0518
2026-04-01,Calgary,Finance,54,129,46,14797.63,9649.83,4.33,0.0745
2026-04-01,Edmonton,E-commerce,52,108,45,17050.78,9417.67,4.42,0.0783
2026-04-01,Calgary,E-commerce,63,136,58,16451.06,11479.87,3.82,0.0567
2026-05-01,Edmonton,Retail,46,80,31,13661.01,9870.1,4.32,0.0943
2026-05-01,Calgary,Retail,53,124,40,13316.64,8139.07,3.93,0.0543
2026-05-01,Edmonton,Restaurant,37,86,35,6660.42,4956.25,4.41,0.0639
2026-05-01,Calgary,Restaurant,39,92,43,6034.58,3264.83,4.16,0.0672
2026-05-01,Edmonton,Healthcare,37,77,31,9279.03,6027.29,4.31,0.0122
2026-05-01,Calgary,Healthcare,45,88,28,10089.18,6194.21,4.13,0.0218
2026-05-01,Edmonton,Finance,49,87,29,12348.1,7713.7,3.44,0.032
2026-05-01,Calgary,Finance,60,122,54,16263.35,10764.58,4.25,0.0633
2026-05-01,Edmonton,E-commerce,55,97,30,16533.81,10899.53,4.45,0.0766
2026-05-01,Calgary,E-commerce,57,140,42,15961.3,11510.26,4.11,0.0462
2026-06-01,Edmonton,Retail,46,111,42,9480.57,5968.12,4.18,0.0782
2026-06-01,Calgary,Retail,54,135,56,12663.79,8108.7,4.27,0.0498
2026-06-01,Edmonton,Restaurant,39,78,27,9455.52,6023.81,4.18,0.0121
2026-06-01,Calgary,Restaurant,43,100,45,6964.24,3956.35,3.81,0.0597
2026-06-01,Edmonton,Healthcare,45,78,34,10879.8,8130.57,4.38,0.0816
2026-06-01,Calgary,Healthcare,48,124,41,7990.97,5313.91,4.01,0.082
2026-06-01,Edmonton,Finance,54,135,60,16456.12,11488.76,3.66,0.0577
2026-06-01,Calgary,Finance,56,144,52,18381.47,12558.19,4.3,0.1006
2026-06-01,Edmonton,E-commerce,59,150,46,18228.12,10101.09,4.12,0.0529
2026-06-01,Calgary,E-commerce,64,149,61,19037.04,10554.33,4.16,0.0501
2026-07-01,Edmonton,Retail,52,133,53,10516.98,7219.14,4.34,0.0752
2026-07-01,Calgary,Retail,53,116,44,9789.53,5702.45,3.9,0.047
2026-07-01,Edmonton,Restaurant,38,89,36,6890.75,4672.2,4.01,0.0394
2026-07-01,Calgary,Restaurant,37,86,26,7252.42,5245.87,4.56,0.0243
2026-07-01,Edmonton,Healthcare,41,82,30,10227.23,6792.78,3.62,0.0215
2026-07-01,Calgary,Healthcare,48,90,32,10432.72,5946.98,4.04,0.0547
2026-07-01,Edmonton,Finance,58,119,52,12480.32,8877.29,3.95,0.0373
2026-07-01,Calgary,Finance,57,124,48,17548.75,12732.84,4.36,0.0697
2026-07-01,Edmonton,E-commerce,63,154,52,17541.62,12973.86,4.08,0.0647
2026-07-01,Calgary,E-commerce,57,118,36,15650.08,9971.39,3.72,0.0323
2026-08-01,Edmonton,Retail,46,87,27,9723.58,6370.98,4.5,0.0669
2026-08-01,Calgary,Retail,54,136,61,10855.68,7944.42,4.19,0.0184
2026-08-01,Edmonton,Restaurant,40,89,39,6711.06,4974.24,4.17,0.0532
2026-08-01,Calgary,Restaurant,42,81,31,7570.26,4628.01,4.18,0.0697
2026-08-01,Edmonton,Healthcare,44,95,39,9402.86,6150.37,3.65,0.0451
2026-08-01,Calgary,Healthcare,53,92,37,11015.6,7021.13,4.4,0.0824
2026-08-01,Edmonton,Finance,54,97,40,13704.22,7519.0,4.37,0.0572
2026-08-01,Calgary,Finance,55,124,52,14791.29,9680.8,4.61,0.0512
2026-08-01,Edmonton,E-commerce,51,107,37,13734.82,7428.03,4.05,0.0757
2026-08-01,Calgary,E-commerce,62,112,38,18372.63,12438.99,3.97,0.0258
2026-09-01,Edmonton,Retail,53,122,45,14516.01,9092.14,4.17,0.0462
2026-09-01,Calgary,Retail,54,109,50,13298.83,9041.49,4.08,0.0175
2026-09-01,Edmonton,Restaurant,41,101,45,7034.58,4090.4,4.27,0.0558
2026-09-01,Calgary,Restaurant,47,98,38,11173.64,7374.1,3.75,0.0634
2026-09-01,Edmonton,Healthcare,53,120,46,11763.34,8545.24,3.98,0.0377
2026-09-01,Calgary,Healthcare,54,129,51,11596.4,8007.21,4.29,0.0729
